Test-related Method	Total # Nodes Reachable From Method	# Nodes Reachable From Mock Invocations
org.apache.ibatis.submitted.xml_external_ref.SameIdTest::testCrossReferenceXmlConfig()V	2027	0
org.apache.ibatis.submitted.xml_external_ref.SameIdTest::testCrossReferenceJavaConfig()V	1802	0
org.apache.ibatis.submitted.xml_external_ref.SameIdTest::testCrossReference(Lorg/apache/ibatis/session/SqlSessionFactory;)V	829	2
org.apache.ibatis.submitted.xml_external_ref.XmlExternalRefTest::testCrossReferenceXmlConfig()V	2027	0
org.apache.ibatis.submitted.xml_external_ref.XmlExternalRefTest::testCrossReferenceJavaConfig()V	1802	0
org.apache.ibatis.submitted.xml_external_ref.XmlExternalRefTest::testFailFastOnBuildAll()V	1782	1
org.apache.ibatis.submitted.xml_external_ref.XmlExternalRefTest::testFailFastOnBuildAllWithInsert()V	1782	1
org.apache.ibatis.submitted.xml_external_ref.XmlExternalRefTest::testMappedStatementCache()V	2018	5
org.apache.ibatis.submitted.xml_external_ref.XmlExternalRefTest::testCrossReference(Lorg/apache/ibatis/session/SqlSessionFactory;)V	829	2
org.apache.ibatis.submitted.xml_external_ref.MultipleReverseIncludeTest::testMultipleReverseIncludeXmlConfig()V	2021	0
org.apache.ibatis.submitted.xml_external_ref.MultipleReverseIncludeTest::testMultipleReverseIncludeJavaConfig()V	1796	0
org.apache.ibatis.submitted.xml_external_ref.MultipleReverseIncludeTest::testMultipleReverseIncludes(Lorg/apache/ibatis/session/SqlSessionFactory;)V	823	0
org.apache.ibatis.submitted.permissions.PermissionsTest::setUp()V	1926	4
org.apache.ibatis.submitted.call_setters_on_nulls.DoNotCallSettersOnNullsTest::setUp()V	1926	4
org.apache.ibatis.submitted.call_setters_on_nulls.CallSettersOnNullsTest::setUp()V	1926	4
org.apache.ibatis.submitted.maptypehandler.MapTypeHandlerTest::setUp()V	1926	4
org.apache.ibatis.submitted.propertiesinmapperfiles.PropertiesInMappersTest::setUp()V	1926	4
org.apache.ibatis.submitted.keycolumn.InsertTest::setUp()V	1701	0
org.apache.ibatis.submitted.keycolumn.InsertTest::testInsertAnnotated()V	824	0
org.apache.ibatis.submitted.keycolumn.InsertTest::testInsertMapped()V	824	0
org.apache.ibatis.submitted.keycolumn.InsertTest::testInsertMappedBatch()V	825	1
org.apache.ibatis.submitted.nested_query_cache.NestedQueryCacheTest::setUp()V	1925	4
org.apache.ibatis.submitted.nested_query_cache.NestedQueryCacheTest::testThatNestedQueryItemsAreRetrievedFromCache()V	775	0
org.apache.ibatis.submitted.nested_query_cache.NestedQueryCacheTest::testThatNestedQueryItemsAreRetrievedIfNotInCache()V	784	0
org.apache.ibatis.submitted.criterion.CriterionTest::setUp()V	1926	4
org.apache.ibatis.submitted.criterion.CriterionTest::testSimpleSelect()V	819	1
org.apache.ibatis.submitted.primitives.PrimitivesTest::setUp()V	1926	4
org.apache.ibatis.submitted.force_flush_on_select.ForceFlushOnSelectTest::testShouldFlushLocalSessionCacheOnQuery()V	827	0
org.apache.ibatis.submitted.force_flush_on_select.ForceFlushOnSelectTest::testShouldNotFlushLocalSessionCacheOnQuery()V	827	0
org.apache.ibatis.submitted.force_flush_on_select.ForceFlushOnSelectTest::testShouldFlushLocalSessionCacheOnQueryForList()V	827	1
org.apache.ibatis.submitted.force_flush_on_select.ForceFlushOnSelectTest::testShouldNotFlushLocalSessionCacheOnQueryForList()V	827	1
